#HMS-PCI Spoke	( 3620)
YDL188C	YOL005C
YDL188C	YMR028W
YML095C	YDR300C
YML095C	YDR155C
YML095C	YJL138C
YML095C	YER043C
YML095C	YDL185W
YML095C	YGL105W
YML095C	YPL262W
YML095C	YJL026W
YER095W	YMR167W
YGL179C	YKR096W
YGL179C	YGL115W
YJL141C	YLL001W
YJL141C	YKR001C
YJL141C	YLR270W
YJL141C	YPL247C
YJL141C	YMR304W
YHR135C	YBR085W
YHR135C	YMR303C
YHR135C	YLR109W
YHR135C	YGR267C
YHR135C	YLR355C
YHR135C	YOR177C
YHR135C	YNL055C
YHR135C	YDR032C
YHR135C	YJR104C
YHR135C	YHR112C
YHR135C	YEL034W
YHR135C	YHR179W
YHR135C	YBR218C
YHR135C	YBL108W
YHR135C	YPL171C
YCR079W	YKL054C
YCR079W	YPL022W
YCR079W	YJL138C
YCR079W	YBR126C
YCR079W	YPL160W
YCR079W	YNL014W
YCR079W	YIL125W
YCR079W	YKL085W
YCR079W	YOR323C
YCR079W	YGL062W
YCR079W	YPL110C
YCR079W	YOR317W
YKL215C	YLL026W
YLR186W	YER030W
YNL099C	YNL032W
YMR104C	YBL080C
YMR104C	YDR477W
YMR104C	YGR016W
YMR104C	YDL185W
YMR104C	YEL060C
YMR104C	YEL023C
YMR104C	YOL139C
YLR216C	YMR303C
YLR216C	YOR154W
YLR216C	YOR220W
YER136W	YLR362W
YIL128W	YER171W
YIL128W	YEL060C
YIL128W	YIL033C
YPL022W	YDL101C
YPL022W	YJL157C
YPL022W	YDL022W
YPL022W	YOL059W
YPL022W	YGR087C
YPL022W	YGR086C
YPL022W	YLR430W
YPL022W	YHL007C
YPL022W	YLL039C
YPL022W	YIL068C
YPL022W	YHR033W
YPL022W	YLR438W
YPL022W	YLR368W
YPL022W	YNL116W
YPL022W	YPL004C
YJR035W	YBL015W
YJR035W	YLR304C
YJR035W	YGL256W
YJR035W	YNR058W
YJR035W	YOL139C
YJR035W	YEL030W
YJR035W	YJL167W
YJR035W	YER136W
YJR035W	YIL070C
YJR035W	YKL085W
YJR035W	YER171W
YJR035W	YFL045C
YJR035W	YDL185W
YJR035W	YHR076W
YJR035W	YMR226C
YJR035W	YMR318C
YJR035W	YPR191W
YJR035W	YJL138C
YJR035W	YIL053W
YJR035W	YKL081W
YJR035W	YDR326C
YNL098C	YOR101W
YPR110C	YNR016C
YPR110C	YBL015W
YPR110C	YMR303C
YPR110C	YER025W
YPR110C	YKL104C
YPR110C	YHR183W
YPR110C	YOR136W
YPR110C	YPR067W
YPR110C	YKL085W
YPR110C	YMR285C
YPR110C	YBR218C
YPR110C	YOR207C
YPR110C	YNL248C
YPR110C	YBR154C
YPR110C	YKL144C
YPR110C	YPR190C
YPR110C	YER021W
YPR110C	YPR187W
YPR110C	YDR388W
YPR110C	YGL062W
YPR110C	YGL137W
YPR110C	YBR150C
YPR110C	YDL185W
YPR110C	YDR453C
YPR110C	YFL042C
YPR110C	YGL245W
YPR110C	YHR112C
YPR110C	YNR003C
