YLR363W-A		S000007620	F	molecular_function unknown	5554	ORF|Uncharacterized
YLR363W-A		S000007620	P	biological_process unknown	4	ORF|Uncharacterized
YLR363W-A		S000007620	C	nucleus	5634	ORF|Uncharacterized
YBR119W	MUD1	S000000323	F	RNA binding	3723	ORF|Verified
YBR119W	MUD1	S000000323	F	RNA binding	3723	ORF|Verified
YBR119W	MUD1	S000000323	P	RNA metabolism	16070	ORF|Verified
YBR119W	MUD1	S000000323	C	nucleus	5634	ORF|Verified
YML023C		S000004485	F	molecular_function unknown	5554	ORF|Uncharacterized
YML023C		S000004485	P	DNA metabolism	6259	ORF|Uncharacterized
YML023C		S000004485	C	nucleus	5634	ORF|Uncharacterized
YMR106C	YKU80	S000004712	F	RNA binding	3723	ORF|Verified
YMR106C	YKU80	S000004712	P	DNA metabolism	6259	ORF|Verified
YMR106C	YKU80	S000004712	C	chromosome	5694	ORF|Verified
YMR106C	YKU80	S000004712	C	nucleus	5634	ORF|Verified
YNL314W	DAL82	S000005258	F	transcription regulator activity	30528	ORF|Verified
YNL314W	DAL82	S000005258	P	transcription	6350	ORF|Verified
YNL314W	DAL82	S000005258	C	nucleus	5634	ORF|Verified
YHR160C	PEX18	S000001203	F	protein binding	5515	ORF|Verified
YHR160C	PEX18	S000001203	P	transport	6810	ORF|Verified
YHR160C	PEX18	S000001203	C	peroxisome	5777	ORF|Verified
YNL315C	ATP11	S000005259	F	protein binding	5515	ORF|Verified
YNL315C	ATP11	S000005259	C	mitochondrion	5739	ORF|Verified
YMR040W	YET2	S000004643	F	molecular_function unknown	5554	ORF|Uncharacterized
YMR040W	YET2	S000004643	P	biological_process unknown	4	ORF|Uncharacterized
YMR040W	YET2	S000004643	C	membrane	16020	ORF|Uncharacterized
YBR054W	YRO2	S000000258	F	molecular_function unknown	5554	ORF|Verified
YBR054W	YRO2	S000000258	P	biological_process unknown	4	ORF|Verified
YBR054W	YRO2	S000000258	C	mitochondrion	5739	ORF|Verified
YBR054W	YRO2	S000000258	C	bud	5933	ORF|Verified
YBL037W	APL3	S000000133	F	molecular_function unknown	5554	ORF|Verified
